candle_ts,tick,time_remaining,opportunity_type,price_at_decision,potential_return_pct,confidence,expected_return,btc_change_pct
1769361300,64,53.82%,NO,0.105,852.4%,65.60%,1.34%,0.108%
1769362200,192,74.19%,YES,0.255,292.2%,15.69%,27.26%,-0.121%
1769363100,312,99.61%,NO,0.485,106.2%,15.73%,32.17%,0.000%
1769364000,440,27.84%,NO,0.275,263.6%,22.57%,18.11%,0.000%
1769364900,493,94.91%,NO,0.230,334.8%,21.56%,36.34%,0.215%
1769365800,651,96.45%,NO,0.345,189.9%,22.91%,33.40%,0.077%
1769366700,809,98.29%,YES,0.545,83.5%,15.31%,31.50%,-0.002%
1769367600,980,92.23%,NO,0.325,207.7%,17.63%,35.08%,0.103%
1769368500,1133,97.36%,NO,0.405,146.9%,21.44%,40.79%,0.027%
1769369400,1323,79.09%,YES,0.345,189.9%,9.86%,39.64%,-0.069%
1769370300,1451,99.57%,NO,0.535,86.9%,16.22%,33.00%,0.000%
1769371200,1683,55.18%,NO,0.295,239.0%,23.15%,25.11%,0.095%
1769372100,1689,51.57%,NO,0.315,217.5%,26.64%,25.04%,0.000%
1769373000,1778,96.37%,NO,0.455,119.8%,26.66%,33.60%,0.018%
1769373900,1970,77.09%,YES,0.325,207.7%,18.44%,20.54%,-0.078%
1769374800,2095,99.33%,YES,0.475,110.5%,16.09%,32.88%,0.000%
1769375700,2356,37.09%,YES,0.135,640.7%,41.05%,-4.22%,-0.133%
1769376600,2416,99.59%,NO,0.525,90.5%,16.09%,32.88%,0.000%
1769377500,2588,92.84%,YES,0.435,129.9%,17.17%,25.01%,-0.047%
1769378400,2743,96.69%,NO,0.475,110.5%,23.74%,30.68%,0.013%
1769379300,2899,99.86%,NO,0.430,132.6%,16.30%,30.91%,0.000%
1769380200,3103,73.16%,YES,0.285,250.9%,54.44%,-10.04%,-0.144%
1769381100,3222,99.27%,NO,0.485,106.2%,18.66%,29.29%,0.000%
1769382000,3427,71.92%,NO,0.455,119.8%,85.28%,4.92%,0.078%
1769382900,3557,91.05%,YES,0.335,198.5%,30.08%,10.41%,-0.179%
1769383800,3731,82.95%,NO,0.295,239.0%,17.33%,34.92%,0.082%
1769384700,3865,99.65%,YES,0.525,90.5%,15.74%,31.88%,0.000%
1769385600,4035,94.04%,YES,0.445,124.7%,17.08%,32.62%,-0.017%
